# external.txt — every reference the closure gate (scripts/skill/verify-mirror.mjs) cannot find on disk,
# with ONE decision per URL. Format: <DECISION> | <url> | why (origin status measured 2026-08-20 with Referer).
# Vocabulary: NOTFILE = base/fragment literal, not a fetchable resource; JOINED = root-relative literal that the
# bundle joins onto another host at runtime — the resolved copy IS on disk (path given); DEADREF = only referenced
# by a retired dev bundle that exists in the mirror solely because an HTML comment names it (quirks Q1/Q3) and whose
# base host path is 404 on origin; NOTFETCHED = origin refuses the resource (same for live visitors).
# Decisions are exact-URL; no prefix (*) excuses, so nothing under any base stops being audited.

NOTFILE | https://assets.itsoffbrand.io/lando/gl | base literal in retired dev bundle lando-by-OFF+BRAND.js; origin 404 (directory, not a file)
JOINED | https://landonorris.com/fonts/MonaSans-Bold-02.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/fonts/MonaSans-Bold-02.webp
JOINED | https://landonorris.com/fonts/MonaSans-Bold-msdf.json | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/fonts/MonaSans-Bold-msdf.json
JOINED | https://landonorris.com/hdri/studio_small_08_1k--dark.hdr | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/hdri/studio_small_08_1k--dark.hdr
JOINED | https://landonorris.com/hdri/studio_small_08_1k--faded.hdr | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/hdri/studio_small_08_1k--faded.hdr
JOINED | https://landonorris.com/hdri/studio_small_08_1k--light.hdr | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/hdri/studio_small_08_1k--light.hdr
JOINED | https://landonorris.com/models/disco-02.glb | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/models/disco-02.glb
JOINED | https://landonorris.com/models/helmet-21.glb | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/models/helmet-21.glb
JOINED | https://landonorris.com/models/sotd.glb | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/models/sotd.glb
JOINED | https://landonorris.com/models/tracks/tracks-05.glb | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/models/tracks/tracks-05.glb
DEADREF | https://landonorris.com/models/tracks/tracks.glb | referenced only by retired dev bundle lando-by-OFF+BRAND.js (named only in an HTML comment, Q1/Q3) whose base assets.itsoffbrand.io/lando/gl is 404; origin 404
JOINED | https://landonorris.com/rive.wasm | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/unpkg.com/@rive-app/canvas-lite@2.26.4/rive.wasm
JOINED | https://landonorris.com/rive_fallback.wasm | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/unpkg.com/@rive-app/canvas-lite@2.26.4/rive_fallback.wasm
JOINED | https://landonorris.com/textures/glass/webp/Norris_Glass_mat_BaseColor.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/glass/webp/Norris_Glass_mat_BaseColor.webp
JOINED | https://landonorris.com/textures/glass/webp/Norris_Glass_mat_Metallic.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/glass/webp/Norris_Glass_mat_Metallic.webp
JOINED | https://landonorris.com/textures/glass/webp/Norris_Glass_mat_Normal.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/glass/webp/Norris_Glass_mat_Normal.webp
JOINED | https://landonorris.com/textures/glass/webp/Norris_Glass_mat_Roughness.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/glass/webp/Norris_Glass_mat_Roughness.webp
JOINED | https://landonorris.com/textures/head/webp/alpha.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/head/webp/alpha.webp
JOINED | https://landonorris.com/textures/head/webp/depth.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/head/webp/depth.webp
JOINED | https://landonorris.com/textures/head/webp/diffuse.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/head/webp/diffuse.webp
JOINED | https://landonorris.com/textures/head/webp/normal.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/head/webp/normal.webp
JOINED | https://landonorris.com/textures/head/webp/roughness.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/head/webp/roughness.webp
JOINED | https://landonorris.com/textures/head/webp/shadow-softer-edit.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/head/webp/shadow-softer-edit.webp
JOINED | https://landonorris.com/textures/head/webp/shadow-to-zip-edit.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/head/webp/shadow-to-zip-edit.webp
JOINED | https://landonorris.com/textures/head/webp/shadow.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/head/webp/shadow.webp
JOINED | https://landonorris.com/textures/helmet/webp/Norris_Helmet_mat_Metallic.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/helmet/webp/Norris_Helmet_mat_Metallic.webp
JOINED | https://landonorris.com/textures/helmet/webp/Norris_Helmet_mat_Normal.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/helmet/webp/Norris_Helmet_mat_Normal.webp
JOINED | https://landonorris.com/textures/helmet/webp/Norris_Helmet_mat_Roughness.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/helmet/webp/Norris_Helmet_mat_Roughness.webp
DEADREF | https://landonorris.com/textures/helmet/webp/dark/Norris_Helmet_mat_BaseColor.webp | referenced only by retired dev bundle lando-by-OFF+BRAND.js (named only in an HTML comment, Q1/Q3) whose base assets.itsoffbrand.io/lando/gl is 404; origin 404
JOINED | https://landonorris.com/textures/helmet/webp/disco/Norris_Helmet_mat_BaseColor.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/helmet/webp/disco/Norris_Helmet_mat_BaseColor.webp
JOINED | https://landonorris.com/textures/helmet/webp/disco/disco_lens-flare-15.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/helmet/webp/disco/disco_lens-flare-15.webp
JOINED | https://landonorris.com/textures/helmet/webp/disco/disco_mask-01.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/helmet/webp/disco/disco_mask-01.webp
JOINED | https://landonorris.com/textures/helmet/webp/disco/disco_matcap-01.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/helmet/webp/disco/disco_matcap-01.webp
DEADREF | https://landonorris.com/textures/helmet/webp/grid/Norris_Helmet_mat_BaseColor.webp | referenced only by retired dev bundle lando-by-OFF+BRAND.js (named only in an HTML comment, Q1/Q3) whose base assets.itsoffbrand.io/lando/gl is 404; origin 404
DEADREF | https://landonorris.com/textures/helmet/webp/lime/Norris_Helmet_mat_BaseColor.webp | referenced only by retired dev bundle lando-by-OFF+BRAND.js (named only in an HTML comment, Q1/Q3) whose base assets.itsoffbrand.io/lando/gl is 404; origin 404
JOINED | https://landonorris.com/textures/noise/noise-03.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/noise/noise-03.webp
DEADREF | https://landonorris.com/textures/not-found/not-found-alpha-6.webp | referenced only by retired dev bundle lando-by-OFF+BRAND.js (named only in an HTML comment, Q1/Q3) whose base assets.itsoffbrand.io/lando/gl is 404; origin 404
JOINED | https://landonorris.com/textures/not-found/webp/not-found-alpha-6.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/not-found/webp/not-found-alpha-6.webp
JOINED | https://landonorris.com/textures/plastic/plastic__matcap-02.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/plastic/plastic__matcap-02.webp
JOINED | https://landonorris.com/textures/tracks/lando__matcap-02.webp | root-relative literal joined onto lando.itsoffbrand.io/gl (or unpkg rive) at runtime; origin 404; on disk: assets/lando.itsoffbrand.io/gl/textures/tracks/lando__matcap-02.webp
NOTFILE | https://static.klaviyo.com/onsite/js/build | fragment: klaviyo.js chunk base (origin 403 for the bare path); the klaviyo <script> is inside an HTML comment on every page (quirk Q1)
NOTFILE | https://cdn.jsdelivr.net/npm/ | bare package-CDN base literal inside a mirrored third-party script; never fetched as such (origin 400)

# ---- netcapture.mjs second pass (2026-08-21, real Chrome, 7 routes × desktop/mobile, 250 requests, 246 HAVE) ----
# 4 GAP rows + 3 off-list hosts, one decision each:
DRIFT | https://cdn.prod.website-files.com/67b5a02dc5d338960b17a7e9/css/lando-offbrand.shared.5b4e934f7.css | post-snapshot Webflow publish: today's HTML references this CSS; the pinned 2026-08-10 HTML references lando-offbrand.shared.{043b62fef,4f53262f0}.css, both on disk. The mirror stays the 08-10 snapshot (coordinate system is pinned); drift is recorded, not chased
DRIFT | https://cdn.prod.website-files.com/67b5a02dc5d338960b17a7e9/js/lando-offbrand.schunk.7321a5097fb66f41.js | same publish; the snapshot's schunk.79b71263bda4d666.js is on disk
STUB | https://landonorris.com/avljl2rk9q5pNjdiNWEwMmRjNWQzMzg5NjBiMTdhN2U5/7ZblqsTeeE5q7zjxhGjeEUmRx4o | Webflow GA reverse-proxy blob, per-publish rotating path; telemetry -> not mirrored, same-origin stub in serve.mjs + stripped from shells (6.1/6.11)
STUB | https://landonorris.com/nvhc9u4gxsagNjdiNWEwMmRjNWQzMzg5NjBiMTdhN2U5/Cfd3dFR423I13UX8BGRslFKw2jo | same (second GA blob)
STUB | www.googletagmanager.com | downstream of the GA blobs; never reached once they are stubbed
STUB | www.google-analytics.com | same
CONTENT | www.iubenda.com | legal-page body fetched from iubenda's API at runtime (6.3); the only external host a rebuild may call, named as a residual in scripts/run-gates.mjs
